"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; C = comic strip",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
275,4,16,"TXT","1",0,0,"Franceska Gleason should think out her reasoning a bit more clearly before she spouts familiar pro-abortion rhetoric and attaches her name to it. The “Constitutional right” that protects a mother’s choice to kill her unborn child should not be equated with the freedom of speech or freedom of religion. The decision Roe v. Wade is a highly controversial one and has not stood the test of time that the freedoms guaranteed in the Bill of Rights have."
276,4,16,"TXT","2",0,0,"Ms. Gleason argues that a mother is “here and now” and an unborn child “being of the future” does not really count and is not deserving of the same basic rights. Each of us was “unborn” at one time. Each of us spent nine vulnerable months in our mother’s womb. Each of us was given a chance to live. Pro-life groups are dedicated to the belief that all children deserve this chance."
277,4,16,"TXT","3",0,0,"Finally, you do not have to be a “religious fanatic” to be pro-life, as Ms. Gleason would suggest. You simply must have a sense of compassion for all humanity and a willingness to speak out for those who have no voice of their own."
278,4,16,"BL","0",0,0,"Paul Knoch English"
279,4,17,"HL","0",0,0,"Athletics vote was a mockery"
280,4,17,"TXT","1",0,0,"I voted no on the athletic referendum, though at the time I was divided on the issue. I value the sports program at Cal Poly; track and field, volleyball — awesome playing, committed athletes. When the referendum passed, 1 was relieved and somewhat pleased."
281,4,17,"TXT","2",0,0,"But here lies my reserved portion that put an X in the “no” box on Nov. 21. This referendum was not presented in formal, unbiased wi’iting to the student body. The fees would rise gradually and effect primarily those who had no vote (I thought we needed the money now). A member of the IRA board was removed mysteriously prior to initialization of the referendum committee apparently on account of his viewpoint against the referendum. Athletics did a tremendous job of campaigning for the referendum at the final football game while a letter was circulated to math, science and engineering faculty instructing them not to sway students not to vote against the referendum."
282,4,17,"TXT","3",0,0,"These incidents tell me I was not trusted in any way to make a decision for the institution I attend, support and admire. This was a mock election, a study in hidden agenda and manipulation. I did not desire in any way for those families of athletic faculty to lose what they had. I wanted to vote for them but I could not. I was forced to protest this mockery of the students."
283,4,17,"TXT","4",0,0,"But at the end, thank you President Baker for this instructional related activity in political science. Please practice these techniques on behalf of our library fee increase."
284,4,17,"BL","0",0,0,"Robert T. Wyman Mechanical Engineering"
285,4,18,"HL","0",0,0,"Give us our due: it’s tattoo time"
286,4,18,"TXT","1",0,0,"Awhile back. Mustang Daily promised that their editorial board would get mustang tattoos on their butts if more than 10,000 students turned out to vote in the recent elections. 10,367 students voted."
287,4,18,"TXT","2",0,0,"You made the promise."
288,4,18,"TXT","3",0,0,"We paid the price."
289,4,18,"TXT","4",0,0,"It’s tattoo time."
290,4,18,"TXT","5",0,0,"Of course, there may be some flexibility in the choice and design of the tattoos; we think a gerbil would be very appropriate for Peter Hartlaub."
291,4,18,"TXT","6",0,0,"Y)U made the bribe."
292,4,18,"TXT","7",0,0,"We paid the price."
293,4,18,"TXT","8",0,0,"It’s tattoo time."
294,4,18,"TXT","9",0,0,"And certainly the editorial board would agree that the students deserve to see irrefutable evidence of your fulfillment of this obligation. Certainly there is enough room on the front page for a few small photos..."
295,4,18,"TXT","10",0,0,"You made the deal."
296,4,18,"TXT","11",0,0,"Now give us our due."
297,4,18,"TXT","12",0,0,"It’s tattoo time."
298,4,18,"BL","0",0,0,"Shawn D. Warren Agribusiness"
299,4,18,"BL","0",0,0,"Gabe Joynt Journalism"
300,0,0,"NA","0",0,0,"■ '""ffi €"
301,4,0,"MH","0",0,0,"MUSTANG DAILY STAFF 1991 - 1992"
302,4,0,"MH ","0",0,0,"Editor-in-Chief - Jason Foster	City Editor - David Bock"
303,4,0,"MH","0",0,0,"Managing Editor - Patty Hayes Copy Editor - Larre' Sterling Opinion Editor - Peter Hartlaub Photo Editor - Hans Hess A&E Editor - Joe Tarica	Bah Humbug - Virgil Mayol"
304,4,0,"MH ","0",0,0,"Insight Editor - Amy Reardon	Illustrator - Jen Smith"
305,4,0,"MH","0",0,0,"Sports Editor - Neil Pascale	Adviser - Herb Kamm"
306,4,0,"MH ","0",0,0,"Business Mgr. - A.J. Schuermann Ad Director - Lee Dobrec Sales Mgr. - Stan Merriken Credit Mgr. - Ken Crittendon Production Mgr. - Nelsene Toriano Classifieds - Leeandra Church"
307,4,0,"MH","0",0,0,"Computer Operations - Dan Malone Ad Design - Denise Meyer,"
308,4,0,"MH ","0",0,0,"Lili Herrera,Todd Straka Paste-Up Babes -Bonnie Wilcher, Sherry Gurtler, Tammy COSSETTE, Ali Bottomley"
309,4,0,"MH","0",0,0,"Mustang Daily offices aie located In Graphic Arts Room 226, Cal Poly University San Luis Obispo, CA 93407. Phone: (805)756-1143. Fax: (805)756-6784. • All material In Mustang Daily is the property of Mustang Daily approval from the Mustang Daily editorial staff and the Mustang Daily publisher's board. Adverlisements and stories are copyrighted by Mustang Dally and may not be reprinted without written permission from the business"
310,4,0,"MH ","0",0,0,"Circulation - Cecil Martinez Office Mgr. - Lisa Martinez Account Executives - Carol Rosland,Kim Forrester, Glenn Hom,Eric Benson Ryan Dover,Neil Higgins"
311,4,0,"MH","0",0,0,"No editorial material may be republished without manager. Printed by University Graphics Systems."
312,5,0,"PI","0",0,0,"Mustang Daily"
313,5,0,"SH","0",0,0,"SPORTS"
314,5,0,"PI","0",0,0,"Friday, Decembers, 1991"
315,5,19,"HL","0",0,0,"Poly suits up as underdogs for Final Four"
316,5,19,"HL","0",0,0,"Mustangs take on No. 7 Cossacks"
317,5,19,"BL","0",0,0,"By Neil Pascale"
318,5,19,"BL","0",0,0,"Editorial Staff"
319,5,19,"TXT","1",0,0,"It sure doesn’t figure, but the No. 12 Cal Poly Mustangs have a legitimate shot at winning the national title."
320,5,19,"TXT","2",0,0,"The upset-minded Mustangs will take on the No. 7 Sonoma State Cossacks at 5 p.m. tonight in the semifinals of the NCAA Division II national championships."
321,5,19,"TXT","3",0,0,"The game, the first of two semifinal contests, will be held in Melbourne, Fla."
322,5,19,"TXT","4",0,0,"Little more than one month ago, the Mustangs crawled into the playoffs by narrowly beating Grand Canyon University, 1-0, at Mustang Stadium."
323,5,19,"TXT","5",0,0,"Since then. Poly has played two dramatic nail-biters on the road — each ending in Mustang victories."
324,5,19,"TXT","6",0,0,"The first was a 1-0 decision over San Bernardino, which had beat Poly earlier in the season."
325,5,19,"TXT","7",0,0,"The Mustangs then became the first Division II sch(X)l to beat the No.3-ranked Seattle Pacific Falcons in two years. Poly barely beat the Falcons, 4-3."
326,5,19,"TXT","8",0,0,"Tonight, Poly finds itself in the Final Four in a very familiar role — an underdog on the road."
327,5,19,"TXT","9",0,0,"Poly has offensive weapons in Todd Henry (15 goals, 7 assists), Ryshiem Henderson (10 goals, 16 assists) and Lorenzo Cremona (12 goals, 8 assists)."
328,0,0,"B","0",0,0,
329,0,0,"B","0",0,0,
330,0,0,"B","0",0,0,"'"
331,0,0,"B","0",0,0,
332,0,0,"B","0",0,0,"V"
333,5,20,"OT","0",0,0,"FINAL FOUR TOP SCORERS"
334,0,0,"B","0",0,0,
335,0,0,"B","0",0,0,
336,5,0,"B","0",0,0,
337,5,0,"B","0",0,0,
338,5,19,"PH","0",0,0,"HANS HESS/Mustang Daily"
339,5,19,"PH","0",0,0,"The Mustangs have run past several opponents, including here against Cal State San Bernardino earlier this season."
340,0,0,"B","0",0,0,
341,0,0,"NA","0",0,0,"« «"
342,0,0,"NA","0",0,0,"(0"
343,0,0,"NA","0",0,0,"c CO O T-c . o *> (0 «"
344,0,0,"NA","0",0,0,"w 2."
345,0,0,"NA","0",0,0,"N"
346,0,0,"NA","0",0,0,"• «"
347,0,0,"NA","0",0,0,".S «"
348,0,0,"NA","0",0,0,"Ol 5"
349,0,0,"NA","0",0,0,"— to"
350,0,0,"NA","0",0,0,"c ”"
351,0,0,"NA","0",0,0,"O o •r «"
352,0,0,"NA","0",0,0,"m"
353,5,0,"OT","0",0,0,"THE ROAD TO THE CHAMPIONSHIPS"
354,5,0,"OT","0",0,0,"Friday, Dec. 6.1991 - 5:00 p.m."
355,5,0,"OT","0",0,0,"#7 Sonoma Sate Cossacks vs. #12 Cal Poly SLO Mustangs Friday, Dec. 6,1991 - 7:30 p.m."
356,5,0,"OT","0",0,0,"#1 Fiorida Tech Panthers vs. #4 Frankiin Pierce Ravens Saturday, Dec. 7,1991 - 7:30 p.m. Championship Game"
357,5,20,"HL","0",0,0,"Final Four all ranked in top 15"
358,5,20,"BL","0",0,0,"By Neil Pascale"
359,5,20,"BL","0",0,0,"Editorial Staff"
360,5,20,"TXT","1",0,0,"Here’s a brief list of the Final Four teams:"
361,5,20,"TXT","2",0,0,"•	No. 12-ranked Cal Poly Mustangs (14-4-4) — The Mustangs have earned a bid to the Final Four after two wins on the road — a 1-0 victory over San Bernardino and a 4-3 decision over Seattle Pacific."
362,5,20,"TXT","3",0,0,"•	No. 7-ranked Sonoma State Cossacks (17-3-2) — The Cossacks got to the semis by beating Oakland, 3-2, in overtime and the University of Missouri, St. Louis, 3-1, in St. Louis. Sonoma and Poly have played four common opponents. Poly was 3-0-1 against them and Sonoma was 6-1-0. The Cossacks are led by senior Andrew Ziemer, with 26 goals and 13 assists."
363,5,20,"TXT","4",0,0,"•	No. 1-ranked Florida Tech Panthers (17-2-1) — The Panthers are in the Final Four after beating Tampa, 2-1, in the second round. The Panthers are led by sophomore Richard Sharpe with 39 goals and 13 assists in 20 games this season."
364,5,20,"TXT","5",0,0,"•	No. 4-ranked Franklin Pierce Ravens (18-3-1) — The Ravens are in the semis after beating Keene State, 2-0 at home. The Ravens are led by Bojan Vuckovic with 20 goals and six assists in 21 games."
365,5,0,"SH","0",0,0,"Mustang Menu"
366,0,0,"B","0",0,0,
367,0,0,"B","0",0,0,
368,5,0,"PH","0",0,0,"Cal Poly's wrestling team is one of two teams on the road this week."
369,5,0,"SH","0",0,0,"Cal Poly Calendar"
370,0,0,"B","0",0,0,
371,5,21,"HL","0",0,0,"Mustangs still perfect, 4-0"
372,0,0,"B","0",0,0,
373,0,0,"NA","0",0,0,"♦ ♦"
374,0,0,"B","0",0,0,
375,5,0,"B","0",0,0,
376,0,0,"NA","0",0,0,"ifl"
377,0,0,"NA","0",0,0,"0"
378,5,0,"OT","0",0,0,"At Home:"
379,5,0,"OT","0",0,0,"WOMEN'S BASKETBALL Cal Poly Classic 6:00 - 8:00 p.m."
380,5,0,"OT","0",0,0,"On the Road: SOCCER vs. Sonoma State in Melbourne, FL 5:00 p.m."
381,5,0,"OT","0",0,0,"On the Road: WRESTLING at Las Vegas Tournament in Las Vegas 10:00 p.m."
382,5,0,"OT","0",0,0,"At Home:"
383,5,0,"OT","0",0,0,"MEN'S BASKETBALL vs. Univ. of South Dakota 8:05 p.m."
384,5,0,"OT","0",0,0,"8"
385,5,0,"OT","0",0,0,"On the Road:"
386,5,0,"OT","0",0,0,"SOCCER"
387,5,0,"OT","0",0,0,"at Division II championships in Melbourne, FL 7:30 p.m."
388,0,0,"NA","0",0,0,"10"
389,5,21,"HL","0",0,0,"Seven score in double figures in 105-97 win"
390,5,21,"BL","0",0,0,"By Travis Swafford"
391,5,21,"BL","0",0,0,"Staff Writer"
392,5,21,"TXT","1",0,0,"The Cal Poly men’.s basketball team scored more than 100 points for the third time in four games on their way to defeating Fresno Pacific College Wednesday night."
393,5,21,"TXT","1",0,0,"The Mustangs outscored Fresno Pacific in the non-conference matchup 105-97, in what Poly Head Coach SUwe Beason described as a fast-paced game."
394,5,21,"TXT","2",0,0,"“Cal Poly has typically been a slow team, but this year we play much quicker,” Beason said."
395,5,21,"TXT","3",0,0,"Poly’s high-scoring affairs can be at-tribuU'd to the fact that many freshman players that played together last year are back this year, Beason said."
396,5,21,"TXT","4",0,0,"Poly, now 4-0, used a balanced offensive attack with seven players scoring in double figures."
397,5,21,"TXT","5",0,0,"“It’s pretty tough for a team to load up on one guy when everyone on the floor is scoring,” Beason said. “That is probably the first time in 20 years that we have had seven guys in double digits.”"
398,5,21,"TXT","6",0,0,"Beason said the Mustangs don’t rely on one or two suj>erstars to carry the team."
399,5,21,"TXT","7",0,0,"“We have a lot of good players, but we don't have any great players,” he said."
400,5,21,"TXT","8",0,0,"In addition to the wide range of possible scorers. Poly can also score from any location on the court."
401,5,21,"TXT","9",0,0,"The team sank 13 of its 19 attempts from three-point range and hit 50 percent of its field goal attempts."
402,5,21,"TXT","10",0,0,"Bill Archer led the Mustangs with 18 points. Matt Clawson, Jeff Oliver, and Shawn Kirkeby added 17 points each for the Mustangs."
403,5,21,"TXT","11",0,0,"David Delaney and Greg Paulson sunk 13 each."
404,5,22,"HL","0",0,0,"Cal Poly scores highest ranking ever in preseason coaches poll"
405,0,0,"NA","0",0,0,"»"
406,5,22,"BL","0",0,0,"By Brian Volk"
407,5,22,"BL","0",0,0,"Staff Writer"
408,0,0,"NA","0",0,0,"n."
409,0,0,"B","0",0,0,
410,0,0,"B","0",0,0,
411,5,22,"OT","0",0,0,"SWIMMING"
412,5,21,"PH","0",0,0,"BRETT MITCHELL/Mustang Daily"
413,5,21,"PH","0",0,0,"The Cal Poly Mustangs have soared thus far after winning their first four contests this season."
414,5,22,"TXT","1",0,0,"In the euphoria of the referendum decision. Cal Poly athletics received more good news."
415,5,22,"TXT","2",0,0,"Both the men’s and women’s swimming teams are ranked No. 3 in Division II by a preseason top-10 poll of the College Swim Coaches Association of America."
416,5,22,"TXT","3",0,0,"The ranking is the highest Poly’s swim teams have ever had, said Cal Poly’s Head Coach Rich Firman."
417,5,22,"TXT","4",0,0,"Firman accounts this largely to a g(x>d share of returning memlx'rs and new recruits despite the “uneasy” times before the referendum decision."
418,5,22,"TXT","5",0,0,"“We’ve got a lot of returning juniors and sophomores and, surprisingly, with the"
419,5,22,"TXT","5",0,0,"referendum, we had a good recruiting year,” Firman said."
420,5,22,"TXT","6",0,0,"“We have a transfer who is a U.S. Open qualifier in the 50-meter freestyle, and we drew in two high sch(X)l All-Amer*ican recruits.”"
421,5,22,"TXT","7",0,0,"Firrnan said they have a returning team that placed second in the nationals’ 800-meter free relay."
422,5,22,"TXT","8",0,0,"He said one of the returning students, swim team captain Jeremy Brannon, placed in the U.S. Open."
423,5,22,"TXT","9",0,0,"The team also has returning national champion swim team captain Stephanie Keller."
424,5,22,"TXT","10",0,0,"Keller, a liberal studies junior, is in her third year on the team. She was pleased with the recent polls and sized up this year as having a “solid team with a lot of good people on it.”"
425,5,22,"ME","0",7,0,".See .SU IMMINii, '"
426,6,0,"PI","0",0,0,"Friday, December 6, 1991"
427,6,0,"PI","0",0,0,"Mustang Daily"
428,6,23,"HL","0",0,0,"Students asked to select teachers for award"
429,6,23,"BL","0",0,0,"Hy Patricia Kgan"
430,6,23,"BL","0",0,0,"Staff Writer"
431,6,23,"TXT","1",0,0,"On the last day of this quarter, nomination fomis for the Distinguished Teachers of the year are due."
432,6,23,"TXT","2",0,0,"Each year Cal Poly students are asked to nominate faculty members for the Distinguished Teachers Award."
433,6,23,"TXT","3",0,0,"The award, which Ix'gan in the 1963-64 school year, is the"
434,6,23,"TXT","3",0,0,"university’s way of recognizing and encouraging faculty members for excellence in teaching."
435,6,23,"TXT","4",0,0,"“The purpose (of the award) is to encourage g(K)d teaching,” said Harvey Greenwald, mathematics professor and chairman of the Ilistinguished Teachers Award Committee."
436,6,23,"TXT","5",0,0,"Teachers are nominated during the fall quarter of each year by the student body via nomination forms, and the award"
437,0,0,"B","0",0,0,
438,6,0,"AT","0",0,1,"n Ì c Y c I r"
439,6,0,"AT","0",0,1,"235 Monterev St."
440,0,0,"B","0",0,0,
441,0,0,"NA","0",0,0,"w"
442,6,23,"TXT","5",0,0,"committee selects the finalists the following quarter."
443,6,23,"TXT","6",0,0,"During winter quarter, the nominations are narrowed down to approximately nine finalists. The committee then visits class-rcKim sessions of each finalist to determine three winners."
444,6,23,"TXT","7",0,0,"“Each member of the committee will visit a (finalist’s) class-i(K)m, but they won’t know we are coming,” said Calvin Wilvert, committee member from the"
445,6,23,"TXT","7",0,0,"social sciences department."
446,6,23,"TXT","8",0,0,"Wilvert received the distinguished teachers award for the 1986-87 school year."
447,6,23,"TXT","9",0,0,"The winners are announced during spring quarter."
448,6,23,"TXT","10",0,0,"Last year the committee selected five winners, two more than the unusual number."
449,6,23,"TXT","11",0,0,"“The standard number of winners is three,” Greenwald said. “Last year the committee had a difficult time separating the"
450,6,23,"TXT","11",0,0,"finalists.”"
451,6,23,"TXT","12",0,0,"The award committee consists of five faculty members and two students."
452,6,23,"TXT","13",0,0,"Nomination forms will be available in all classroom buildings and both the library and University Union information desks until the last day of the quarter."
453,6,23,"TXT","14",0,0,"They can be turned into either the U.U. or library information desk."
454,6,0,"AT","0",0,1,"SHOP • SLO • 543-81791"
455,6,24,"HL","0",0,0,"Secret Santas aim to fulfill wishes of 1,000 needy children this year"
456,6,24,"HL","0",0,0,"Network Mall, Central Coast Plaza house name trees"
457,6,24,"BL","0",0,0,"by Minku Parson.s"
458,6,24,"BL","0",0,0,"S‘aff Whiter"
459,6,24,"TXT","1",0,0,"A thousand needy San Luis Obispo children are hoping to receive Christmas gifts this year from community members participating in the Secret Santa Program."
460,6,24,"TXT","2",0,0,"The progi’am, started by the Salvation Ai*my, helps people in the community below the poverty level and families with special hardships."
461,6,24,"TXT","3",0,0,"“It’s a really nice way that people can help needy children in the community,” said Salvation Army Captain Noreen French."
462,6,24,"TXT","4",0,0,"She said that the program begins with needy people applying for Christmas gifts including food and toys."
463,6,24,"TXT","5",0,0,"The children’s first names then are written on a tag to be placed on a tree in the community. Community members anonymously pick a tag off the tree and buy one of the gifts listed on the back of the tag."
464,6,24,"TXT","6",0,0,"“The person who buys the gift can buy whatever gift they want to,” French said. The gift does not have to be on the child’s wish"
465,6,24,"TXT","7",0,0,"The participants then bring their gift back to the tree and volunteers make sure the gifts get to the children at Christmas."
466,6,24,"TXT","8",0,0,"“It’s worked very well in the past couple of years,” French said. “That’s why we’re so overwhelmed with applicants this year.”"
467,6,24,"TXT","9",0,0,"Last year the Salvation Army served about 600 needy families."
468,6,24,"TXT","10",0,0,"“This year we’re up to 1,000, and we’ve had to turn some away because of it,” French said. “W’e are hoping that the community will be responsive to the needs.”"
469,6,24,"TXT","11",0,0,"Last year, there were children"
470,6,24,"TXT","11",0,0,"left who did not get their names picked off the tree, French said."
471,6,24,"TXT","12",0,0,"The Salvation Army provided those children with gifts donated by local businesses, individuals and college students."
472,6,24,"TXT","13",0,0,"“This year, since we’ve taken so many more (children) and the economy is so bad, there may be a number on the tree that won’t be provided for,” French said."
473,6,24,"TXT","14",0,0,"French said two trees would be set up this year — one at the Central Coast Plaza and another"
474,6,24,"TXT","14",0,0,"at Network Mall."
475,6,24,"TXT","15",0,0,"Names can be taken from the trees seven days a week from the day after Thanksgiving to Dec. 16."
476,6,24,"TXT","16",0,0,"All gifts must be turned in by the 16th in order to make the deliveries."
477,6,24,"TXT","17",0,0,"Business Improvement Administrator Association Lynn Block said that there has been a lot of positive response from the community."
478,6,24,"TXT","18",0,0,"“It takes 100 volunteers to man the tree. We can always use volunteers to help with delivery and organizing,” Block said."
479,6,24,"TXT","19",0,0,"“There’s so many kids that need help and there’s tons of names on the tree,” she said. “You can make someone’s Christmas by being a Secret Santa.”"
480,6,24,"TXT","20",0,0,"French said that by contributing to the program, participants can get discounts from many local stores."
481,6,24,"TXT","21",0,0,"The program has been a tradition with the Salvation Army since 1982."
482,6,24,"TXT","22",0,0,"This is the third year San Luis Obispo has participated."
483,0,0,"B","0",0,0,
484,0,0,"B","0",0,0,
485,0,0,"B",,0,0,
486,6,0,"AT","0",0,2,"A' We have San Luis Obispo County's"
487,6,0,"AT","0",0,2,"^ Largest Selection of Mountain & Road Bikes!"
488,6,0,"AT","0",0,2,")\RT"
489,6,0,"AT","0",0,2,"s"
490,0,0,"B","0",0,0,
491,0,0,"B","0",0,0,
492,6,0,"AT","0",0,2,"198 South Street San Luis Obispo, CA (805) 543-4416"
493,6,0,"AT","0",0,2,"2179 10th Street-Los Osos, CA (805) 528-5115"
494,6,0,"AT","0",0,2,"SLO"
495,6,0,"AT","0",0,2,"198 South St."
496,6,0,"AT","0",0,2,"543-4416"
497,6,0,"AT","0",0,2,
498,6,0,"AT","0",0,2,"LOS osos"
499,6,0,"AT","0",0,2,"217910th St."
500,6,0,"AT","0",0,2,"528-5115"
501,6,0,"AT","0",0,3,"n"
502,6,0,"AT","0",0,3,"I"
503,6,0,"AT","0",0,3,"I"
504,6,0,"AT","0",0,3,"I"
505,6,0,"AT","0",0,3,"Smog Inspection $ Qy|95"
506,6,0,"AT","0",0,3,"PASS or"
507,6,0,"AT","0",0,3,"I I I"
508,6,0,"AT","0",0,3,"DON’T PAY!"
509,6,0,"AT","0",0,3,"I CERTIFICATE $6.oo"
510,6,0,"AT","0",0,3,"MARaN iMICO • 1001 MARSH ST. SLO SAS-TSTS"
511,6,0,"AT","0",0,4,"Mountain Air Sportoj Ski Clearance Sale!^"
512,6,0,"AT","0",0,4,"i \"
513,6,0,"AT","0",0,4,"ALMOST ENTIRE SKI DEPARTMENT 40-507o OFF"
514,6,0,"AT","0",0,4,"Spring and Summer goods have arrived!"
515,6,0,"AT","0",0,4,"Beachwear. Windsurfing equipment. Tents, Backpacks. Many other accesories."
516,6,0,"AT","0",0,4,"731 State St Santa Barbara 962-0049"
517,6,0,"AT","0",0,4,"WINDSURFING"
518,6,0,"AT","0",0,4,"• Rentals and Lesson$| have started!"
519,6,0,"AT","0",0,4,"Call for details."
520,6,0,"AT","0",0,4,"MOUNTAIN AIR"
521,6,0,"AT","0",0,4,"SPCNtTS"
522,6,0,"AT","0",0,4,"667 Marsh St"
523,6,0,"AT","0",0,4,"(Corner of Marsh and Broad)j 543-1676"
524,7,0,"PI","0",0,0,"MUSTANG Daily"
525,7,0,"PI","0",0,0,"Friday, December 6, 1991"
526,7,22,"HL","0",0,0,"SWIMMING"
527,7,22,"ME","0",-5,0,"From page 5"
528,7,22,"TXT","11",0,0,"“I’m really happy about it,” Keller said. “It makes the team motivated to see that we’re ranked and people notice us.”"
529,7,22,"TXT","12",0,0,"Team captain and physical education junior P.J. Madigan is in his third year on the men’s team. He said he felt last year’s performance in the national championship, particularly some fast relays, helped them to get the No. 3 rating."
530,7,22,"TXT","13",0,0,"“I was surprised. I expected us to be up there, but I thought UC Davis would be ahead of us,” said Madigan. “It really gives us something to shoot for.”"
531,7,22,"TXT","14",0,0,"Team captain and reci'eation administration junior Anne Oberg was also surprised with the ranking, released Nov. 25."
532,7,22,"TXT","15",0,0,"“All along I’ve been told that this year’s team is the best we’ve ever had, but it was hard to see that because of the referendum,” Oberg said."
533,7,22,"TXT","16",0,0,"Oberg said the referendum kept many good people from competing in the meets. She explained that if people swam in one meet and the referendum did not pass, they would lose their eligibility."
534,7,22,"TXT","17",0,0,"The team has competed in meets against Fresno State,"
535,7,22,"TXT","17",0,0,"University of Pacific, the Claremont Colleges and a relay meet in Bakersfield."
536,7,22,"TXT","18",0,0,"So far, they have had only one meet where the entire team has competed. Firman said this has kept the team from reaching “full strength” in the meets."
537,7,22,"TXT","19",0,0,"“Now that we know we’re going to have a team, things are going pretty well and everyone’s motivated,” Keller said."
538,7,22,"TXT","20",0,0,"“I think that the referendum decision has made us better. We really had to work as a team to get people to vote and that really brought us together.”"
539,7,22,"TXT","21",0,0,"FiiTnan expressed excitement about the polls but said they are still subject to change throughout the year."
540,7,22,"TXT","22",0,0,"He felt confident the polls will be a g(X)d indicator of the final places at the national championship meeting scheduled in March."
541,7,22,"TXT","23",0,0,"Finnan said the highest the team has ever been in the Division II nationals occurred when the women team placed fifth and the men placed eighth. Last year, the women placed seventh and the men placed 10th."
542,7,0,"PH","0",0,0,"Poly’s new power forward"
543,7,0,"PH","0",0,0,"BRETT MITCHELLyMustang Daily"
544,7,0,"PH","0",,,"At the Nov. 22 men’s basketball game against University of Caiifornia at Santa Cruz, a youngster runs onto the court. Poiy, however, didn't need him as they easily beat the Banana Slugs."
545,0,0,"B","0",0,0,
546,0,0,"NA","0",0,0,"'■“""re T t*'*'""'*"
547,7,0,"AT","0",0,1,"2121 South Broad"
548,7,0,"AT","0",0,1,"F^lijs A. Free Cup» of Coffee"
549,7,0,"AT","0",0,1,"Buv one t>real<.fast:, get a second of eciual or lesser value FREE! Flus a free cup of coffee!"
550,7,0,"AT","0",0,1,"Not valid with arty other offer. Exr>. 12/31/91"
551,0,0,"B","0",0,0,
552,7,0,"AT","0",0,2,"Half Fr"
553,7,0,"AT","0",0,2,"Bu"
554,7,0,"AT","0",0,2,"2121 South Broad"
555,7,0,"AT","0",0,2,"Buy orte burrito, get a second of equal or lesser value at half price! F*lus a soft drink for 50<^ (soft drinks reg. $1.00) DINNER ONLY."
556,7,0,"AT","0",0,2,"Not valid with any other offer. Exp. 12/31/91"
557,7,0,"AT","0",0,3,"Poly Students Welcome"
558,7,0,"AT","0",0,3,"Home in Cayucos. 3 bedrooms, 2 baths, fireplace, family area, 2 car garage. 400 feet from the beach."
559,7,0,"AT","0",0,3,"$950/mo."
560,7,0,"AT","0",0,3,"546-8686"
561,7,0,"AT","0",0,4,"HOLIDAY OPEN HOUSE"
562,7,0,"AT","0",0,4,"Saturday, December 7 • Noon - 4"
563,7,0,"AT","0",0,4,"stop by and join the HOLIDAY spirit with FOOD, FUN, FRIENDS,"
564,7,0,"AT","0",0,4,"AND FRAMES!"
565,0,0,"B","0",0,0,
566,7,0,"AT","0",0,5,"Optumeinc Service of Lu.fc 0*»'V(K"
567,7,0,"AT","0",0,5,"David A. Schulu, O.D Contact Lcr.ios and Unique Eyewear"
568,7,0,"AT","0",0,5,"T7^ Marsh Street, SLO"
569,0,0,"B","0",0,0,
570,7,0,"AT","0",0,6,"INTER"
571,7,0,"AT","0",0,6,"ONDERLAND"
572,0,0,"B","0",0,0,
573,7,0,"AT","0",0,6,"Holiday Gift Ideas For Everyone On Your"
574,7,0,"AT","0",0,6,"Shopping List!"
575,7,0,"AT","0",0,6,"Mon - Thurs 7:45 am - 7:00 pm"
576,7,0,"AT","0",0,6,"EIG>nall!;^Book5toie"
577,7,0,"AT","0",0,6,"Friday 7:45 am - 4:30 pm Saturdays 11:00 am > 4:30 pm"
578,7,0,"AT","0",0,7,"Boxed ¥"
579,7,0,"AT","0",0,7,"^ IFis/ies To Go!"
580,0,0,"B","0",0,0,
581,7,0,"AT","0",0,7,"Wrap Up Year Gift U*| In One Locatioa"
582,7,0,"AT","0",0,7,"Distinctive Gifts & Accessories Hostess Gifts & Baskets Local Wines & Champagnes Cards & Stationery Invitations"
583,7,0,"AT","0",0,7,"The Boxworks... We’re More"
584,7,0,"AT","0",0,7,"THE BOXWORKS..."
585,7,0,"AT","0",0,7,"YOUR ONE STOP SHOP For Holiday Gift Wrapping Packaging and Shipping"
586,7,0,"AT","0",0,7,"In TTic Network 778 Higuera, SLO 545-9940"
587,7,0,"AT","0",0,7,"Creative Gift Wrapping Exquisite Boxes, Bags & Bows Calligraphy Expert Packing Worldwide Shipping"
588,7,0,"AT","0",0,7,"Than Just Boxes!"
589,7,0,"AT","0",0,7,"b&i"
590,7,0,"AT","0",0,7,"W • t K S"
591,8,0,"AT","0",0,1,"Walk to Poly"
592,8,0,"AT","0",0,1,"2 bedrooms, 1 bath, laundry facilities and parking. $500/mo. 546-8686"
593,8,0,"PI","0",0,0,"Friday, December 6, 1991"
