"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTXTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
257,4,14,"TXT","8",0,0,"Camus also argued that the State sets a negative example for its individual members in the acceptance of violence: “Bloodthirsty laws make bloodthirsty customs.” Camus presented evidence that increasing execu-"
258,4,14,"TXT","8",0,0,"tions and dealing more brutally with criminals in general serves less to deter the criminal mentality than tö incite its morbid and hostile impulses. The only way to break this vicious circle, Camus advised, is for government (over which we have the control we don’t have over individual criminals) to take the first steps toward de-escalating violence — advice taken by Frances Mitterand in abolishing the death penalty when he took office as president of PrEuice in 1981, with no subsequent increase in that country’s crime rate."
259,4,14,"TXT","9",0,0,"In Camus’ analysis, we are all to some degree the product of our society; thus society bears some share of responsibility for breeding criminals. Most executed criminals — including Harris — have grown up in poverty and many have been abused as children. Alcohol and drugs frequently contribute to their crimes, yet those who profit from slum housing or selling criminals alcohol and drugs, as well as deadly weapons, are absoTved of any responsibility."
260,4,14,"TXT","10",0,0,"Camus was not, however, a bleeding heart absolving the individual: “The instinct of preservation in societies, and hence of individuals, requires that individual responsibility be p>ostu-lated and accepted without dreaming of an absolute indulgence that would amount to the death of all society. But the same reasoning must lead us to conclude that there never exists any total responsibility.”"
261,4,14,"TXT","11",0,0,"His point was that even if society bears only one percent of the blame, by executing criminals rather than viewing the cost of life imprisonment as payment for its own share of blame, it absolves itself 100 percent. “Society proceeds sovereignty to eliminate the evil ones from her midst as if she"
262,4,14,"TXT","11",0,0,"were virtue itself. Like an honorable man killing his wayward son and remarking: ‘Really, I didn’t know what to do with him.’”"
263,4,14,"TXT","12",0,0,"For society’s self-protection, Camus advocated replacing capital punishment with life imprisonment with no possibility of parole for the most vicious criminals, and preventing their escape by isolating them on a Devil’s Island or Alcatraz. (He would also allow them the option of suicide, which makes more sense than when Utah authorities pumped Gary Gilmore’s stomach out of a self-induced overdose of pills in order to keep him alive for the firing squad.)"
264,4,14,"TXT","13",0,0,"Camus and abolitionists are not, as often charged, indifferent to victims and their survivors. Nothing can bring the victims back to life, but abolitionists suggest that the high costs of the legal process preceding execution, as well as the proceeds from imprisoned criminals’ labor."
265,4,14,"TXT","13",0,0,"could be redirected toward compensating survivors."
266,4,14,"TXT","14",0,0,"There are alternatives between execution and lax policies that permit release of dangerous criminals; certainly, opponents of the death penalty need to join with advocates in insisting in closing the outrageous loopholes that allow unregenerate killers to go free."
267,4,14,"TXT","15",0,0,"As Camus concluded, “We know enough to say that this or that major criminal deserved hard labor for life. But we don’t know enough to decree' that he be shorn of his future...Forbidding a man’s execution would amount to proclaiming publicly that society and the State are not absolute values, that nothing authorizes them to legislate definitively or to bring about the irreparable.”"
268,4,14,"TXT","16",0,0,"Don Lazere is a professor of English at Cal Poly and author of The Unique Creation of Albert Camus, published by Yale University Press."
269,4,0,"ME","0",0,0,"LETTERS TO THE EDITOR"
270,4,15,"HL","0",0,0,"Take another look at Cal Poly budget"
271,4,15,"TXT","1",0,0,"Why are the students of the engineering technology department and the home economics department protesting cuts of their departments? Don’t they understand the budget problems that Cal Poly is facing? Don’t they recognize the fact that some departments must be cut for the good of the school?"
272,4,15,"TXT","2",0,0,"These are reasonable questions. But to shine a light from their perspective, one more question must be asked — why them? If this question was answered, '^hey would be forced to see reality. As it now stands, these programs are left to guess why they were chosen to be eliminated."
273,4,15,"TXT","3",0,0,"If they were told in clear terms why they were chosen."
274,4,15,"TXT","3",0,0,"they would be able to defend themselves. They would also be able to see why they are less important then other programs."
275,4,15,"TXT","4",0,0,"If we accept the fact that these programs were being eliminated simply because the school is faced with budget problems, eliminating programs that cost the most per student would seem more reasonable."
276,4,15,"TXT","5",0,0,"This would result in the largest amount of money being saved. This would also allow the school to graduate a larger number of students per year."
277,4,15,"TXT","6",0,0,"Had these programs been selected from a hat, their elimination would be more justified. Two more questions should be answered before students of these programs change their major; which program is next in line behind these"
278,4,15,"TXT","6",0,0,"programs, and “why them?”"
279,4,15,"BL","0",0,0,"Patrick Dumas ETEL"
280,4,16,"HL","0",0,0,"Civil Rights Week speaker confusion"
281,4,16,"TXT","1",0,0,"The Cal Poly College Republicans heard about “Civil Rights Awareness Week” two weeks ago. We have been working with U.S. Civil Rights Commissioner Bill Allen on his bid for U.S. Senate. We (the College Republicans) decided that this would be a great opportunity to offer our contribution to, what we believed to be, a national civil rights week."
282,4,16,"TXT","2",0,0,"We had no idea that “Civil Rights Awareness Week” was an exclusive event to Cal Poly. We talked to Bill Allen and he agreed to come talk in San Luis Obispo."
283,4,16,"TXT","3",0,0,"On Tuesday, May 5, Davin Pascale (President of the Committee for Civil Rights Awareness) contacted a member of my club demanding that we remove the flyers and publicly apologize for “misusing” the Civil Rights Awareness Week name. I have twice left messages with Miss Pascale hoping to clear up this obvious misunderstanding but she has refused to return my calls and has filed a complaint to the school without talking to me first."
284,4,16,"TXT","4",0,0,"Tb my dismay, the day after Miss Pascale ordered us to take down our flyers I observed that"
285,4,16,"TXT","4",0,0,"the flyers had been torn down for us. Not only is this action a violation of state election laws, but it seems to be a personal attack with partisan motives behind it."
286,4,16,"TXT","5",0,0,"If there was any misunderstanding about the"
287,4,16,"TXT","5",0,0,"motives of our actions I sincerely apologize. But it deeply disturbs me that a chartered campus club is not allowed to participate in a campus activity. If we knew that we were supposed to get permission we would have done so. We received nothing in our club box mentioning this fact nor mentioning the event itself."
288,4,16,"BL","0",0,0,"Richard McLeod Cal Poly Chairman College Republicans"
289,4,0,"SH","0",0,0,"Letters Policy"
290,4,0,"OT","0",0,0,"Letters to the editor should be typed, less than 250 words and include the author's name, phone number and major or occupation."
291,4,0,"OT","0",0,0,"Letters may be edited for clarity, content or space limitations. Letters should be turned into the letters box in the Mustang Daily office."
292,4,0,"MH","0",0,0,"MUSTANG DAILY STAFF 1991 - 1992"
293,4,0,"MH","0",0,0,"Ediior-in Chief - Jason Foster Managing Editor - Patty Hayes F’hoto Editor Hans Hess Opinion Editor - Peter Hartlaub Art Director - Virgil Mayol"
294,4,0,"MH","0",0,0,"A&E Editor - Joe Tarica In.sight Editor - Amy Reardon Sports Editor - Neil Pascale City Editor - David Bock"
295,4,0,"MH","0",0,0,"Copy Editor - Larre’ Sterling Business Mgr. - A.J. Schuermann Ad Design - Denise Meyer."
296,4,0,"MH","0",0,0,"Ad Director - Lee Dobrec	Todd Straka, James Hanley"
297,4,0,"MH","0",0,0,"Sales Mgr. - Stan Merriken	Account Executives - Carol"
298,4,0,"MH","0",0,0,"Ad Production Mgr. - Kim Forrester Rosland, Eric Benson. Production Mgr. - Nelsene Toriano Sang Chon. Neil Higgins. Classifieds - Leeandra Church,"
299,4,0,"MH","0",0,0,"Cathy Lung"
300,4,0,"MH","0",0,0,"Illustrator - Jen Smith Adviser - Herb Kamm Circulation - Cecil Martinez Office Mgr. - Lisa Martinez"
301,4,0,"MH","0",0,0,"Credit Mgr. - Ken Crittendon Computer Operations - Dan Malone Production - Tammy Cossette,"
302,4,0,"MH","0",0,0,"Ali Bottomley, Kristin Yorba, Kris Rockhold, Kelly MacIver,"
303,4,0,"MH","0",0,0,"Dan Burke, Matt Macomber, Carol Reynoso, Amy Koval Steve Betterly, Glenn Hom Chelsea Hernandez"
304,4,0,"MH","0",0,0,"Muftang Daily office« are located in Graphic Art* Room 226, Cal Poly University San Lui» Obi«po. CA 93407 Phone (805)756-1143, Fa* (805)756-6784 • Alt material in Mueteng Daily ie the property of Mustang Daily No editorial material or photograph« may be republished without approval from the Mustang Daily editorial staff and the Mustang Daily business manager Advertisements and stories are copyrighted by Mustang Daily and may not be reprinted without written permission from the business manager Printed by University Graphic Systems"
305,5,0,"SH","0",0,0,"Sports"
306,5,0,"PI","0",0,0,"Mustang Daily"
307,5,0,"PI","0",0,0,"Monday, May 11, 1992"
308,5,17,"HL","0",0,0,"UC Davis upsets Poly at nationals"
309,0,0,"B","0",0,0,
310,0,0,"NA","0",0,0,"A'"
311,5,17,"HL","0",0,0,"Mustangs defeat Rollins, 5-1, for third place finish"
312,5,17,"BL","0",0,0,"Ry Brad Hamilton"
313,5,17,"BL","0",0,0,"Staff Writer"
314,5,17,"TXT","1",0,0,"More fuel was added to the fire of hostility between the No. 2-seeded Cal Poly men’s tennis team and the No. 4-seeded UC Davis team."
315,5,17,"TXT","2",0,0,"The Aggies put an abrupt stop to the Mustangs’ drive towards a"
316,5,17,"TXT","2",0,0,"NCAA National Championship"
317,5,17,"TXT","2",0,0,"Saturday when they soundly defeated the Mustangs, 5-2."
318,5,17,"TXT","3",0,0,"Matches between the two teams are always huge because year after year the teams butt heads in the nationals."
319,5,17,"TXT","4",0,0,"Saturday’s match was the rubber match of this season. The Aggies beat the Mustangs, 5-4, the first matchup."
320,5,17,"TXT","5",0,0,"The Mustangs more than made up for the first loss by thrashing the Aggies, 8-1, in the Mustang Invitational."
321,5,17,"TXT","6",0,0,"However, the Aggies had the last word in this year’s battle,"
322,5,17,"ME","0",6,0,"Sec TENNIS, page 6"
323,0,0,"B","0",0,0,
324,0,0,"NA","0",0,0,"h"
325,0,0,"B","0",0,0,
326,0,0,"B","0",0,0,
327,5,17,"PH","0",0,0,"STEVEN"
328,5,17,"PH","0",0,0,"Cal Poly’s Max Allman volleys a shot In the net In an earlier match this season."
329,5,17,"PH","0",0,0,"J. MUELLER/Mustang Daily"
330,5,18,"HL","0",0,0,"Mustangs aren’t left out of regionale"
331,5,18,"HL","0",0,0,"Two southpaws pitch dominant games in doubleheader sweep over San Bernardino"
332,5,18,"BL","0",0,0,"By Gregory Rieber"
333,5,18,"BL","0",0,0,"Staff Writer"
334,5,18,"TXT","1",0,0,"With their backs to the fences, the No. 3-ranked Cal Poly Mustangs swept two games from Cal State San Bernardino to take a share of the California Collegiate Athletic Association championship."
335,5,18,"TXT","2",0,0,"The two victories enabled Cal Poly to win the CCAA for the second consecutive year and the third out of the last four years."
336,5,18,"TXT","3",0,0,"Cal Poly will start preparing for next weekend’s Western ^gionals of the Division II NCAA College World Series."
337,5,18,"TXT","4",0,0,"It will be announced sometime today where the regionals are going to be played and who will be participating. “The fun begins now,” said Cal Poly Head Coach"
338,5,18,"TXT","4",0,0,"Steve McFarland. “I told the guys that they should not agonize anymore. They accomplished something great."
339,5,18,"TXT","5",0,0,"“It’s an honor to play in the regionals. They have worked really hard this year and they deserve to be where they are right now.”"
340,5,18,"TXT","6",0,0,"Cal Poly finishes the regular season with an overall record of 35-16 and 20-10 in the CCAA. The Coyotes finish the regular season at the bottom of the CCAA with a 7-23 record."
341,5,18,"TXT","7",0,0,", In the first game. Cal Poly gave starting pitcher Paul Souza plenty of breathing room with some explosive offense to win, 6-3."
342,5,18,"TXT","8",0,0,"I Irt what is becoming a common occurrence in the CCAA, Cal Poly pitcher Eric Hill hdd yet another dominating performance in the second game to help Cal Poly win, 5-2."
343,5,18,"TXT","9",0,0,"“We played a lot better tonight,” McFarland said, referring to Friday’s 6-4 loss."
344,5,18,"TXT","10",0,0,"“We eliminated some frustrations and played solid baseball.”"
345,5,18,"TXT","11",6,0,"In the first game. Cal Poly got an early See BASEBALL, page 6"
346,0,0,"B","0",0,0,
347,0,0,"B","0",0,0,
348,5,19,"HL","0",0,0,"Offense stalls as Mustangs come up short at regionals"
349,5,19,"BL","0",0,0,"By Neil Pascale"
350,5,19,"BL","0",0,0,"Editorial Staff"
351,0,0,"NA","0",0,0,"*9^"
352,5,19,"PH","0",0,,"SOFTBALL"
353,5,19,"TXT","1",0,0,"After an inspiring start, the Cal Poly Mustangs exited the NCAA Division II Western Regionals due to a sputtering offense."
354,5,19,"TXT","2",0,0,"The Mustangs, ranked No. 13 in the nation, bowed out after being shut out for 14 consecutive innings."
355,5,19,"TXT","3",0,0,"Poly lost Sunday to the top-ranked Cal State Bakersfield Roadrunners, 3-0, in a game that determined who would advance to the regional finals."
356,5,19,"TXT","4",0,0,"Bakersfield’s Kristine Karr blanked Poly for seven innings, getting five strikeouts"
357,5,19,"TXT","4",0,0,"and one walk."
358,5,19,"TXT","5",0,0,"Pbiys starting pitcher Julie Rome went all the way for the Mustangs. Rome, entering the regionals with a 23-4 record, gave up two earned runs."
359,5,19,"TXT","6",0,0,"The Roadrunners scored all their runs in a three-run third inning."
360,5,19,"TXT","7",0,0,"On Saturday, the Mustangs beat Portland State, 3-2, in the regional’s opening contest."
361,5,19,"TXT","8",0,0,"Poly, however, then went into its offensive drought as they lost to Cal State Hayward, 1-0."
362,5,19,"TXT","9",0,0,"Bakersfield advanced to the regional finals against Hayward, who went into Sunday’s game undefeated."
363,5,19,"TXT","10",0,0,"Hayward had downed the Roadrunners, 3-2, in their opener."
364,0,0,"B","0",0,0,
365,0,0,"B","0",0,0,
366,0,0,"B","0",0,0,
367,0,0,"B","0",0,0,
368,0,0,"NA","0",0,0,"¡m"
369,0,0,"B","0",0,0,
370,0,0,"NA","0",0,0,"w I#"
371,0,0,"B","0",0,0,
372,0,0,"B","0",0,0,
373,0,0,"B","0",0,0,
374,0,0,"B","0",0,0,
375,0,0,"B","0",0,0,
376,0,0,"B","0",0,0,
377,0,0,"B","0",0,0,
378,0,0,"B","0",0,0,
379,0,0,"B","0",0,0,
380,0,0,"B","0",0,0,
381,5,19,"PH","0",0,0,"NEIL MSCALEAlustang Dally"
382,5,19,"PH","0",0,0,"Paul Souza pltch«is during Saturday’s 6-3 win over the Coyotes."
383,5,20,"HL","0",0,0,"Viewing fiashes from the present, past"
384,5,20,"BL","0",0,0,"By Neil Pascale"
385,5,20,"BL","0",0,0,"Editorial Staff"
386,5,20,"TXT","1",0,0,"It might be considered sexist. Possibly blatantly so."
387,5,20,"TXT","2",0,0,"Yet, to have the overwhelmingly urge to kneel down and kiss John Zimmerman’s ring finger must not be that unusual."
388,5,20,"TXT","3",0,0,"Zimmerman holds the dubious record for photographing the most Sports Illustrated swimsuit issues."
389,5,20,"TXT","4",0,0,"Seven times the photographer has visually knocked SI readers out with his array of shots depicting the smallest swimsuits on the world’s top female models."
390,5,20,"TXT","5",0,0,"Zimmerman was on campus Saturday along with a handful of othe'* who’s who in photographers to watch — or take part in — a presentation opening Mark Kauffman’s art show titled “A Slice of Life.”"
391,5,20,"TXT","6",0,0,"Kauffman, Zimmerman and John Dominis, another photographer on hand Saturday, all have astonished people with their photojournalism for decades. Saturday was no exception."
392,5,20,"TXT","7",0,0,"Speaking sports of course, the threesome have provided SI and Life readers rolls upon rolls of historic film of athletes and events."
393,5,20,"TXT","8",0,0,"Kauffman will forever be remembered for shooting the first Sports Illustrated cover shot of the Milwaukee Braves’ Eddie Mathews at County Stadium in Milwaukee."
394,5,20,"TXT","9",0,0,"Dominis, Si’s photo editor from 1979-82 and fellow Life photographer, showed his ensemble Saturday at the presentation. Among those was a black-and-white shot of Mickey Mantle at Yankee Stadium."
395,5,20,"TXT","10",0,0,"Dominis told a standing-room-only crowd at Fisher Science room 286 that he was assigned to take photographs of the popular"
396,5,20,"TXT","10",0,0,"Yankee slugger during his later — and least productive — years."
397,5,20,"TXT","11",0,0,"Dominis’ shot shows Mantle, against a backdrop of a sold out Yankee Stadium, throwing his batting helmet in disgust after an at-bat."
398,5,20,"TXT","12",0,0,"“The one thing we did a lot (at Life) was to try to think up what would be a real interesting picture,” Dominis said afterwards."
399,5,20,"TXT","13",0,0,"“Y)u want to give yourself a tough problem, instead of giving yourself an easy problem. Ybu can solve almost any problem if you struggle with it.”"
400,5,20,"TXT","14",0,0,"Dominis said that the creativity Life photographers yearned for, and provided readers time after time on a weekly basis before television appeared, was lost at Sports Illustrated."
401,5,20,"TXT","15",0,0,"“At SI when I was the picture editor"
402,5,20,"ME","0",6,0,"See PHOTO, page 6"
403,5,20,"PH","0",0,0,"STEVE MUELLER/Muatang Dally"
404,5,20,"PH","0",0,0,"John Zimmerman"
405,6,0,"PI","0",0,0,"Monday, May 11,1992"
406,6,0,"PI","0",0,0,"MUSTANG Daily"
407,6,18,"HL","0",0,0,"BASEBALL"
408,6,17,"HL","0",0,0,"TENNIS"
409,6,20,"HL","0",0,0,"PHOTO"
410,6,18,"ME","0",-5,0,"From page 5"
411,6,18,"TXT","12",0,0,"start in the first inning when in-fielder Mike Oakland hit a sacrifice fly to drive in outfielder Phil James."
412,6,18,"TXT","13",0,0,"After infielder Duke Dodder hit an RBI single in the third inning, catcher Paul Camber dell a scored on an error in the fourth inning to give Cal Poly a 3-0 lead."
413,6,18,"TXT","14",0,0,"Cal Poly then erupted for three runs in the seventh inning."
414,6,18,"TXT","15",0,0,"Outfielder Juan Rojo started off the bashing with an RBI single."
415,6,18,"TXT","16",0,0,"Once designated h' ter Matt Drake walked, the stage was set for Oakland. He stepped up and drilled a two-run triple down the right field line, giving Cal Poly a 6-0 lead."
416,6,18,"TXT","17",0,0,"“We hit’ the ball very well,” Rojo said. “The guys want the"
417,6,18,"TXT","17",0,0,"regionals real bad. Souza pitched a great game, and I think that turned us around and got the hit-"
418,6,0,"AT","0",0,1,"aduate"
419,6,0,"AT","0",0,1,"We Have Great Gifts foilfe:. all Cal Poly Grads W"
420,6,0,"AT","0",0,1,"Shop ‘til 7:00PM Monday- Thursday"
421,6,0,"AT","0",0,1,"You'll find Cal Poly sweatshirts, Alumni cjiiiijthing. Cal poly glassware, graduation cards, brief cascsi Cal Poly cross pens, class rings. Alumni licenseijpliiite frames, and more!"
422,6,0,"AT","0",0,1,"m"
423,6,0,"AT","0",0,1,"Bcx^kstofe QG3ndE¿A¿9B(x>btDre EIG>rrai"
424,6,0,"AT","0",0,2,"BUCK BREAKFAST"
425,6,0,"AT","0",0,2,"686 HIGUERA STREET • 541-0686"
426,6,0,"AT","0",0,3,"BUSINESS MAJORS"
427,6,0,"AT","0",0,3,"Mentor Program"
428,6,0,"AT","0",0,3,"Cardinet-Hughes-Clayton is offering career opportunities for business graduates interested in sales and marketing."
429,6,0,"AT","0",0,3,"Participate in sales or Marketing Mentor Program and get first hand experience from professionals in the field, while earning a salary plus commission."
430,6,0,"AT","0",0,3,"Cardinet-Hughes-Clayton also offers a wide variety of financial products and services to business owners and professionals. a"
431,6,0,"AT","0",0,3,"Q\RDINET"
432,6,0,"AT","0",0,3,"HUGHES"
433,6,0,"AT","0",0,3,"CIAYR)N"
434,6,0,"AT","0",0,3,"I'lnlcwmlllll I iiuiiu ml Vn ((( '"
435,6,0,"AT","0",0,3,"FOR MORE INFORMATION CALL"
436,6,0,"AT","0",0,3,"(408) 998-1600-Theresa"
437,6,0,"AT","0",0,3,"OR SEND RESUME TO:"
438,6,0,"AT","0",0,3,"Cardinet-Hughs-Clayton 99 Almadén Blvd, Suite 555 San Jose, CA 95113"
439,6,18,"TXT","17",0,0,"ters fired up.”"
440,6,18,"TXT","18",0,0,"In the ninth inning, San Bernardino’s comeback attempt failed by only mustering three runs."
441,6,18,"TXT","19",0,0,"San Bernardino scored two runs off Souza and one run off relief pitcher Chal Fanning, who relieved Souza in the ninth inning with no outs."
442,6,18,"TXT","20",0,0,"Souza, who came into the game with a 6-2 record in the CCAA and a 2.98 ERA, gave up only three hits and struck out four players in eight innings of work."
443,6,18,"TXT","21",0,0,"“I think the key to the game was that we were able to get an early lead,” McFarland said. “We really jumped on the ball.”"
444,6,18,"TXT","22",0,0,"In game two. Hill was, once again, the key to the game."
445,6,18,"TXT","23",0,0,"Hill, who came in with a 6-1 record and 2.37 ERA in the CCAA, pitched all seven innings, struck out six and gave up five hits."
446,6,17,"ME","0",-5,0,"From page 5"
447,6,17,"TXT","7",0,0,"which propelled them into the championship match against No. 3-seeded Hampton from Virginia."
448,6,17,"TXT","8",0,0,"“Davis played a good match,” Poly Head Coach Chris Eppright said in a tone that clearly stated his disappointment."
449,6,17,"TXT","9",0,0,"“Both teams were fired up and ready to play. (Davis) really took it to us. That’s by far the best match (Davis) played all year."
450,6,17,"TXT","10",0,0,"“It’s tough*. Everyone is obviously disappointed because we were hoping to win. We got up in a few instances, but we let them back into it.”"
451,6,17,"TXT","11",0,0,"The match at the third seed was the example Eppright offered to prove his last statement. Marc Ollivier won the first set, 6-1, but then Davis’ Mark Lamonica came on strong and won in three sets."
452,6,17,"TXT","12",0,0,"“The other matches weren’t close at all,” Eppright said. “We got killed.”"
453,6,17,"TXT","13",0,0,"The two Mustang victories came from No. 2-seeded Mark Nielson and No. 5-seeded Jeff Ar-nott."
454,6,17,"TXT","14",0,0,"Nielson defeated Dave Allen, 6-3, 6-1."
455,6,17,"TXT","15",0,0,"“The only surprise was at No. 2 where we had lost both times before, but we won this time easily,” Eppright said."
456,6,17,"TXT","16",0,0,"Amott beat Jeff McCann, 6-1, 6-2."
457,6,17,"TXT","17",0,0,"The Mustangs’ No. 3-seeded doubles. Josh Johnston and Jeff Amott, lost to Mark Ebner and Lamonica, 6-3, 6-3."
458,6,17,"TXT","18",0,0,"The loss sealed the victory for the Aggies."
459,6,17,"TXT","19",0,0,"UC Davis advanced by defeating No. 8-seeded Southwest Baptist from Missouri in the first round."
460,6,17,"TXT","20",0,0,"On Sunday, the Mustangs rebounded by demolishing Rollins, 5-1."
461,6,17,"TXT","21",0,0,"“It’s tough playing for third or fourth,” Eppright said. “They had such a go(^ year.”"
462,6,17,"TXT","22",0,0,"The Mustangs captured five of the six singles matches against Rollins, who beat Poly last year in the national championships."
463,6,17,"TXT","23",0,0,"Poly’s No. 1-seed Max Allman led the charge with a convincing 6-4, 6-2 win over Darren Price, Rollin’s top-seeded player."
464,6,17,"TXT","24",0,0,"Ollivier, Ricardo Reyes, Steve Amott and Josh Johnston also recorded victories for Poly."
465,6,17,"TXT","20",0,0,"The Mustangs advanced to play against UC Davis by defeating No. 6-seeded Airostrong State from Savannah, Ga."
466,6,17,"TXT","21",0,0,"The only losses suffered against Armstrong State were at the top two seeds."
467,6,0,"AT","0",0,4,"X TNIVERSITV"
468,6,0,"AT","0",0,4,"ARDENS'*-766 Boysen Avenue"
469,6,0,"AT","0",0,4,"•	2 Bedroom furnished apartments"
470,6,0,"AT","0",0,4,"•	School year lease ' Sept. 1 to June 30"
471,6,0,"AT","0",0,4,"•	$750 per month"
472,6,0,"AT","0",0,4,"•	3 Person occupancy"
473,6,0,"AT","0",0,4,"•	1/2 mile to Cal Poly Campus"
474,6,0,"AT","0",0,4,"•	Cable TV, water, trash provided"
475,6,0,"AT","0",0,4,"543-6819"
476,6,20,"ME","0",-5,0,"From page 5"
477,6,20,"TXT","16",0,0,"there, the one thing I didn’t ei\joy too much about it was that they always had to have the news,” he said."
478,6,20,"TXT","17",0,0,"“They had to have the main event. Which meant that you had to have a lot of photographers because you didn’t want to miss that one touchdown. So, it kind of stifles creativity."
479,6,20,"TXT","18",0,0,"“For Life ... we would definitely try to not do the same thing. We would tiy to look for something else, some other angle.”"
480,6,20,"TXT","19",0,0,"SI also presents another problem to editors and photographers alike — the jinx."
481,6,20,"TXT","20",0,0,"Both Domini s and Zimmerman discussed the mysterious, yet ongoing curse that fixates itself on an athlete that appears on Si’s front cover."
482,6,20,"TXT","21",0,0,"“Oh, you heard about it all the time,” Dominis said. “Maybe it went to the guy’s head a little bit being on the cover of Sports Illustrated. And maybe it fouled him up a little bit... I suppose it’s possible. But, we never believed in it.”"
483,6,20,"TXT","22",0,0,"For some unknown reason, the spell has yet to affect models, Zimmerman said."
484,6,20,"TXT","23",0,0,"“No never heard it on a girl, but on baseball players and football players. I mean (athletes) would not run away. But they were worried about it,” he said. “Athletes, but never beautiful girls. Because once the beautiful girl is on the cover, that means she immediately that year will get a contract with ... Revlon or big beauty companies that’s worth at least a.quarter of million dollars.”"
485,6,20,"TXT","24",0,0,"Zimmerman has photographed numerous other athletes and events athletes, including five Olympic games."
486,6,20,"TXT","25",0,0,"Kauffman, who tossed out hilarious one-liners between presentations, seemed to wrap up Saturday’s event nicely afterwards. “Lot of history seen through those eyes.”"
487,6,0,"AT","0",0,5,"CIVIL RIGHTS AWARENESS WEEK '92*"
488,6,0,"AT","0",0,5,"Admission is FREE unless otherwise indicated"
489,6,0,"AT","0",0,5,"Monday May 11"
490,6,0,"AT","0",0,5,"‘Minority Students in the Classroom; A role play. U.U. 205 (1-2 p.m.)"
491,6,0,"AT","0",0,5,"'Countering the Attack on Afrocentricity;"" U.U. 220 (2:00-3:00 p.m.)"
492,6,0,"AT","0",0,5,"‘Artistic Creativity and Social Oppression:' Ev Martinez U.U. 219 (3:00-4:00 p.m.)"
493,6,0,"AT","0",0,5,"‘Victory and Defeat; the CivilRights Movement of the 1960s' William Chafe (Duke University) 52-B05 (7:30-9:00 p.m.)"
494,6,0,"AT","0",0,5,"Tuesday May 12"
495,6,0,"AT","0",0,5,"‘Sexism and Civil Rights:'Gloria Romero U.U. 220 (Noon -1:00 p.m.)"
496,6,0,"AT","0",0,5,"‘Christopher Columbus, the Common Law ans the American Law of Slavery:' U.U. 219 (Noon - 2:00 p.m.)"
497,6,0,"AT","0",0,5,"‘Farm Workers: Rights and Realities:’ Mike Blank U.U. 220 (1:00-2:00 p.m.)"
498,6,0,"AT","0",0,5,"‘Native Americans and Civil Rights; A Continuing Dilemma:' Don Grinde U.U. 218 (2:00-3:00 p.m.)"
499,6,0,"AT","0",0,5,"‘Racism the Subculture of Violence and Black Youth Gangs:' Jerome Jackson U.U. 219 (2:00-4:00 p.m.)"
500,6,0,"AT","0",0,5,"‘The War on the Poor in the 1990’s:‘ Francis Fox Piven, Co-author of Poor People's Movements 52-B05 (7:30-9:00 p.m.) Blues show: Joe Lewis Walker. SLO Brew-1119 Garden (9:30-11:00 p.m.) Admission: $7 in advance & $8 at the door"
501,6,0,"AT","0",0,5,"Wednesday May 13"
502,6,0,"AT","0",0,5,"‘No Time for the Melting Pot; Multiculturalism as a Civil Rights Issue:’ U.U. 220 (11:00 - Noon)"
503,6,0,"AT","0",0,5,"‘Books at High Noon:' John Hampsey Staff Dining Room B (Noon -1:00 p.m.)"
504,6,0,"AT","0",0,5,"‘Qualifications, Affirmative Action, and College Admissions- - What’s the Evidence?' U.U. 220 (2:00-4:00 p.m.)"
505,6,0,"AT","0",0,5,"'Racism in the 90s: From the Courtroom to the Classroom:’ Morris Dees, Co-founder and Chief Trial Counsel, Southern Poverty Law Center Chumash Auditorium (5:15-6:45 p.m.) Admission: $3 student/senior $5 general Reception to follow: Staff Dining Room B (6:45-8:30 p.m.) Admission: $15"
506,6,0,"AT","0",0,5,"Thursday May 14"
507,6,0,"AT","0",0,5,"‘Hate Crimes:' Duncan Donovan, John Castello - Discussion on the Rodney King incident U.U. 216 (Noon -1:30 p.m.) ‘The Death Penalty and Its Civil Rights Implications:' U.U. 220 (Noon -1:00 p.m.)"
508,6,0,"AT","0",0,5,"‘The Draft, Military Service and Conscientious Objection: World War II, Viet Nam and the Gulf:' U.U. 219 (2:00-3:00 p.m.) 'Civil Rights and the Powerless:'Alan K. Chambers 52-B05 (7:00-9:00 p.m.)"
509,6,0,"AT","0",0,5,"Sunday May 17"
510,6,0,"AT","0",0,5,"El Teatro Campesino: World Renowned Chlcano theatre troupe. Admission: $9 students/seniors $13 general Tickets available in advance at the theatre box office."
511,6,0,"AT","0",0,5,"Cal Poly Theatre (8:00 p.m.)"
512,6,0,"AT","0",0,5,"For more info, please contact Jefferson Dong 544-7211 or Dr. Phil Fetzer 756-6147"
513,6,0,"AT","0",0,5,"* Complete programs available in U.U."
