"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
253,0,0,"NA",0,0,0,"1 0l«KT HtC MKIM.. Bolee««#« of M* «««loo. Brifioolty •i?.M i«o«e mm i«o« a.Ml"
254,0,0,"NA",0,0,0,"AM* aoo*o Boraoi IMI I vuoo L«0«%OB*^*^***"
255,4,0,"AT",0,0,8,"JOIN OTHER CONCERNF MtMBERSOF OUR COI MUNITVAT MISSION PLAZA FOR A ONE VIGIL CONCE'^NING THi"
256,4,0,"AT",0,0,8,"OIABlO nuclear powe"
257,4,0,"AT",0,0,8,"PLANT"
258,4,0,"AT",0,0,8,"MON MAY 16"
259,4,0,"AT",0,0,8,"7:30-8.30 pm."
260,4,0,"AT",0,0,8,"UE. may 1 8:15- 9:15am."
261,4,0,"AT",0,0,8,"MEET OTHEIt MEMBERS Of THE CAL POLY COMMUNITY W A MARCH FROM THE UU PLAZA TO"
262,4,0,"AT",0,0,8,"r THE DtaCOVERY INN WHERE THE NRC WILL BEGIN HEARINOS WE WILL ASSEMBLE AT THE UNIV UNION PLAZA AT SIS AM. MARCH TO GRAND ^ MONTEREY TO BE JOINED BY A SIMILAR GROUP WALKING FROM MISSK3N PLAZA AND PROCEED TO THE DISCOVERY INN YOU WILL SE ABLE TO RETURN IN TIME TO MEET ».30 CLASSES"
263,4,0,"AT",0,0,8,"PLEASE JOIN US' YOU MAY NOT 1 HAVE ANOTHER CHANCE!"
264,0,0,"B",0,0,0,
265,4,0,"AT",0,0,8,"DIABLO CANYON E"
266,4,0,"AT",0,0,8,"Pcri'iic»l Action Club COPC«fn»<lC«l Tr.ly Ficulty »no Sl»M Ecology Act- tiub"
267,4,0,"AT",0,0,8,"OUNTRY"
268,5,0,"PI",0,0,0,"FrMay.'MqrlB.IMI"
269,0,0,"B",0,0,0,
270,0,0,"B",0,0,0,
271,0,0,"B",0,0,0,
272,5,0,"CT",0,0,0,"11416 6LA5S Me UPlVe LUALL"
273,0,0,"NA",0,0,0,"a"
274,5,0,"CT",0,0,0,"X VE SRPOT 9 LiDN6,60RlM6 ojeeks USTENIM6 TD ms ^ tBACHeR	NOHilM-"
275,0,0,"NA",0,0,0,"TT^"
276,0,0,"B",0,0,0,
277,5,0,"CT",0,0,0,"3:c/i*J'T-RH<E-mi5, 165TrA<siiiiy7TA"
278,0,0,"NA",0,0,0,"o"
279,5,0,"CT",0,0,0,"oliAV-r'M t^BAaV (3oMfJ/^ ^ocw-E cctow Ncu) ANp aer"
280,5,0,"CT",0,0,0,"mV rei^ finished"
281,5,0,"CT",0,0,0,"c>NCE-ANO fbR ALL'"""
282,5,0,"CT",0,0,0,"...f?l<9Hr AFT0^.X uPHVfaooM"
283,5,0,"CT",0,0,0,"OGAM"
284,0,0,"B",0,0,0,
285,5,0,"CT",0,0,0,".»ANPf^E'WCC ...Mvcu^Mycuxei’. VACUUM Tie fU30i^, >\i4p wpnE scMEI^TTEf^, /Vsip..."
286,0,0,"NA",0,0,0,"I"
287,0,0,"NA",0,0,0,"ii-"
288,0,0,"NA",0,0,0,"•irrin^"
289,0,0,"NA",0,0,0,"M"
290,5,0,"CT",0,0,0,"EftHEP IWS CM6S HA610 ficnufme wet *I HAVE 10HNDr<EA icfiep"
291,0,0,"NA",0,0,0,"L"
292,0,0,"B",0,0,0,
293,0,0,"NA",0,0,0,"AHQ 3MiPTBmSTDS»fUrVft/^"
294,0,0,"NA",0,0,0,". - TB\5.fpi»\y."
295,0,0,"NA",0,0,0,"Vfs::"
296,0,0,"NA",0,0,0,"f|ft’lW---tt)IWsto)RP(i«l£M'? JOSTiftaWIZg WR -fiMe -me viW Au- auBSt"
297,0,0,"NA",0,0,0,"‘ ' PP.-"
298,0,0,"NA",0,0,0,"TITlTBrpuB"
299,0,0,"NA",0,0,0,"Tt3KdRRolO V"
300,0,0,"NA",0,0,0,"rSuorHcMewi»:"
301,0,0,"NA",0,0,0,"i"
302,0,0,"NA",0,0,0,"uiwocwr"
303,0,0,"NA",0,0,0,"imiiiK"
304,5,0,"CT",0,0,0,"Of1>WT"
305,5,0,"CT",0,0,0,"OK/Vi' SOW-LOOt^S U>:Ej r’M (aONNiA TO"
306,5,0,"CT",0,0,0,"CU"
307,5,0,"CT",0,0,0,"IT'S I06SAL Tb »ZOW A"
308,5,0,"CT",0,0,0,"uiawr oM A eicvcLE-.A^iZi^;"
309,5,0,"CT",0,0,0,"PNP MiaW'HCLPytf^	rtR"
310,5,0,"CT",0,0,0,". ft A ^ y T"
311,0,0,"NA",0,0,0,"I"
312,0,0,"B",0,0,0,
313,5,0,"CT",0,0,0,"-me COMMOMITV li^iT IbR ^ PCCCMT fbU< If HCJC^ U«"
314,0,0,"NA",0,0,0,">:CeP CiZCAKilMO T>ie"
315,0,0,"B",0,0,0,
316,5,0,"CT",0,0,0,"IM JUST DOIM’ MV JdB, SO»^^] ^AL>e A Mice 0^ NOM- j"
317,0,0,"NA",0,0,0,"nte(>0P"
318,0,0,"NA",0,0,0,"iHeaoop"
319,0,0,"NA",0,0,0,"--'»V"
320,0,0,"B",0,0,0,
321,6,0,"PI",0,0,0,"Pag* 6"
322,6,0,"PI",0,0,0,"Mustang Dally Friday, May 15,1961"
323,0,0,"B",0,0,0,
324,6,12,"HL",0,0,0,"Senate weathers flood of bills"
325,6,12,"BL",0,0,0,"BY MARY McAlister stall Wrtlar"
326,6,12,"TXT",1,0,0,"The student senate continued to wade through the flood of new legislation introduced two weeks ago, as it passed two 1)1118 and one resolution and killed three other bills after considerable debate Wednesday"
327,6,12,"TXT",2,0,0,"The board also postponed two proposals for fur-"
328,6,12,"TXT",2,0,0,"ther revision as it attempted to clear its legislative agenda and make room for the upcoming budget hearings next week."
329,6,12,"TXT",3,0,0,"After examining documents on alternative financing and survey results on the effects of tuition, senators passed a resolution which indicates the ASl’s opposition to resident tuition for CSUC"
330,6,3,"HL",0,0,0,"Sen. ; abortion is killing"
331,6,3,"ME",0,-1,0,"From page 1"
332,6,3,"TXT",1,0,0,"liet me take a homosexual,” Richardson l>egan. What 1 mean is, let me discuss that first.” Me explained that he was not interested in dictating a homosexual's lifestyle, but. does not believe they should be allowed to teach children or hold most other jobs."
333,6,3,"TXT",2,0,0,"Regarding abortion, he said he l)S|,d been in com-municatioh with members of the medical community"
334,0,0,"NA",0,0,0,"u"
335,6,3,"TXT",2,0,0,"who all maintained life l>egins at conception. “So, 1 believe abortion is killing,” he stated."
336,6,3,"TXT",3,0,0,"Richardson's opinion on marijuana was that it is debilitating, harmful, and he opposed its use. “Rut an adult who chooses to .screw up his body should have that right, as long as he isn't hurting others,” he added.'“It all gets down to infringement of others' rights. You can swing your arm all you want to, until it reaches my nose."""
337,6,0,"AT",0,0,1,"ENTERTAINMENT	"
338,6,0,"AT",0,0,1,"fiBSaD □ej 11^1 igoNTEftIVST $6.00 bargain matins« V first hour only. J	Thfe Fan 	 Lauren Bacall ancj James Garner wk. niteS'7;00, 9:00 wk. ends- 1:30, 3:15, 5:00, 7:00, 9:00"
339,0,0,"B",0,0,0,"	"
340,6,0,"AT",0,0,1,"^44-3488 lAff adonna ITI Plaza theatre ^11 I'l' A . . I'll ""1 M 1.1. !.. t U ‘j	Take This Job and Shove It 7:15, 9:15* R"
341,6,0,"AT",0,0,1,"/B44-3488 ^ MW adonna Plaza theatre V ■ ■ J	Happy Birthday to Me 7:00,9:10 R"
342,6,0,"AT",0,0,1,"/844-S488 MW adonna 1^1 Plaza theatre VL'..	 ' J	Ordinary People 7:00, 9:20 R"
343,6,0,"AT",0,0,1,"^468-4611 * ^ Pi“r„ « Cinema V Atascadero j	Raging Bull 7:00, 9:10 R"
344,6,0,"AT",0,0,1,"A4ea^ii niaia ITTwin Cinema V Atasoadere j	Every Which Way But Loose, and Any Which Way You Can 7:00"
345,6,0,"AT",0,0,1,"Í 4SS-SSS4 h FAIR OAKS Arroyo Grande ^Any a*ort anytlm* 99C^	Caveman 7:00,9:00 n ’ ’ PG"
346,6,0,"AT",0,0,1,"ÍT78-8444 BAY Theatre ^ Morro Bay ^	9 to 5 7:00, 9:15 PG AUi saais au. xnns 9t*"
347,6,0,"AT",0,0,1,"Great American Melodrama G3"
348,6,0,"AT",0,0,1,"SECRET SERVICE ,	R ^"
349,6,0,"AT",0,0,1,"May 8 - June 14	E a"
350,6,0,"AT",0,0,1,"Q B A Romantic Comedy set in the revolulionary war period. “ £ Full of mystery, intrijtue. and beauracratic bumhlinR. ^ C"
351,6,0,"AT",0,0,1,"You'll thouroufthly enioy it! Followed by VAUDEVILLE X REVIBW-withlots ol'fun, danccyinJyomedy.' For reserva-R tionscall 180-24<)<»	______________"
352,6,0,"AT",0,0,1,"K"
353,6,12,"TXT",3,0,0,"students."
354,6,12,"TXT",4,0,0,"The	resolution"
355,6,12,"TXT",4,0,0,"recognizes the need for additional financing in the state budget and will include a cover letter outlining recommended tuition alternatives, and it will l>e sent to the state legislature"
356,6,12,"TXT",5,0,0,"The ASI attempted to remedy the problem of low student awareness of ASI by passing a bill which e.stablishes an educational campaign similar to the one staged before the fee increaseelection."
357,6,12,"TXT",6,0,0,"The bill delegates authority to the student relations board and student ativities information director to implement a full media campaign that will be funded by ASI and will attempt to educate students on the various services and programs of the ASI."
358,6,12,"TXT",7,0,0,"Three controversial bills were rejected by the body after considerable debate."
359,6,12,"TXT",8,0,0,"Two bills dealt with guidelines for approval or suspension of bylawed and coded groups and would have required either a biennial or yearly report and assessment of their programs. One bill propo.sed a $1.50 per member assessment for each club to defray T)usTness office costs, but this proposal was voted out of the bill before it and the other guidelines bill died due to a lack of a two-thirds majori-ty."
360,6,12,"TXT",9,0,0,"Another debate ensued over a bill to change the ASI election dates to the first two weeks of spring quarter and the filing period to the last two weeks of winter quarter."
361,6,12,"TXT",10,0,0,"The proposed budget was explained in detail by finance committee chair Peter Schuster, and Huff announced a special meeting Monday at 8 p.m. to hear budget appeals and iron out problems before approval next Wednesday."
362,0,0,"B",0,0,0,
363,0,0,"NA",0,0,0,"«rt9 6k 1"
364,0,0,"NA",0,0,0,"as"
365,0,0,"NA",0,0,0,"gbuM adtli ita*l ' bubUa h sJuyiMg the bknrpip* i* ipw t«i g]«M fleet«! out„ '"
366,6,10,"TXT",13,0,0,"Hedgee wpleig'iitht dhe of $he moet uBporUHt"
367,6,10,"TXT",13,0,0,"ing i* not to latehe gleiw «eoi teo feet. ""Tb* fliM4 /'jriiove fraetwei >t6o tnnu lur'iiiraiii ” r r"
368,0,0,"NA",0,0,0,"art <"
369,0,0,"NA",0,0,0,"ItirWI^^"
370,6,10,"TXT",16,0,0,"fairly eet*bUsh*d«wrae ad|l*.a -fear years, aecordfa« t» «leedek. ...."
371,6,10,"TXT",17,0,0,"“The stodMii* ha^ed to make thi^ lab.“ said Jarckh, who le a profee>-""' eiotial glaeehlowar. “It wa* a jpet buibflng it from the floor Tim atadk>, which ie located the pottery lab behind the Ki Uhmry. wae rooaotly enlarged"
372,6,10,"TXT",17,0,0,"I new sanding and i'"
373,0,0,"NA",0,0,0,". >"
374,0,0,"NA",0,0,0,"^thai"
375,6,10,"TXT",14,0,0,"•r After «!"
376,6,10,"TXT",18,0,0,"aMdeata ana art I dont draw hae etwtya.bajM friiii i"
377,0,0,"NA",0,0,0,"r '	^ ^9 9—■ «_	^ - — -"
378,0,0,"B",0,0,0,
379,0,0,"NA",0,0,0,"' 'i' r ■"
380,0,0,"NA",0,0,0,"I"
381,0,0,"NA",0,0,0,"tihri"
382,0,0,"NA",0,0,0,"trai>ad tèi"
383,0,0,"NA",0,0,0,"-"
384,0,0,"NA",0,0,0,".a;-'"
385,0,0,"B",0,0,0,
386,0,0,"NA",0,0,0,"rtethâhaet*':"
387,0,0,"NA",0,0,0,"jm-	^hrtichaeidl"
388,0,0,"NA",0,0,0,"- - -"
389,0,0,"NA",0,0,0,"itlw	tèdi oorudea did»;"
390,0,0,"NA",0,0,0,"I to I"
391,6,10,"TXT",20,0,0,"for"
392,6,13,"HL",0,0,0,"Students’ paper finishes first"
393,6,13,"TXT",1,0,0,"Two Cal Poly students placed first in a technical paper competition held during the recent American Institute of Industrial Engineers Regional X student conference."
394,6,13,"TXT",2,0,0,"Terry Boczek of Ventura and Grace Saiki of Stockton presented their paper, titled “The Design of a Fabrication Line to Manufacture a Cylindrical Part, "" at the conference held at the University of Texas, El Paso, in February."
395,6,13,"TXT",3,0,0,"Both industrial engineering majors, they competed"
396,6,13,"TXT",3,0,0,"against students from six other universities, including Arizona State University and New Mexico State University."
397,6,13,"TXT",4,0,0,"The paper was a fall quarter project for a course on facilities design. Before entering the paper at the regional conference, the students won an award at the local American Institute of Industrial Engineers Senior Chapter."
398,6,13,"TXT",5,0,0,"The students' paper is now entered in competition for a national prize. The national rankings will be announced at the A HE national convention to be"
399,6,13,"TXT",5,0,0,"held late next ntonth in Detroit.	< n"
400,6,13,"TXT",6,0,0,"Saiki, a junior, is the daughter of Mrs. Shoko Saiki of Stockton. She graduated from Edison High School in Stockton in June 1978. She has received three scholarships since attending Cal Poly."
401,6,13,"TXT",7,0,0,"Boczek is a senior and the son of Mr. and Mrs. Louis Boczek of Ventura He is a 1977 graduate of Stj Bonventure High School in Ventura. He was chosen most outstanding undergraduate in industrial engineering during his sophomore year"
402,6,0,"SH",0,0,0,"Classifíed"
403,6,0,"OT",0,0,0,"All ClassHls* Ad« «r* prepaid In “bloclia'' ol t3.00 p«r •ach 3 llnaa par day. 3 linaa tor laur day« 1« St.OQ. $3.00 lor 3 linaa par Mock par day."
404,6,0,"OT",0,0,0,"Mall dear copy and check le Muatang Daily. Cal Poly, SLO. $3407 or pay In advance at the Univaratty Caahlar. »"
405,6,0,"OT",0,0,0,"Announctmflnts"
406,6,0,"OT",0,0,0,"Paraonal. confidential birth control information. Singles or couples invited Make appt . front desk Health Center No Charge	(5-21)"
407,6,0,"OT",0,0,0,"4 Bdrm house $600 per month 2 Bdrm apt all utilities pd $400 $43 5092 after 5"
408,6,0,"OT",0,0,0,"(5-20)"
409,6,0,"OT",0,0,0,"Housing"
410,6,0,"OT",0,0,0,"LOST ANDFOUNDAND SURPLUS PROPERTY SALE Thera will be a aala ol unclaimed Loat and Found and Surplus property articles on Tuesday (May 10) between t:30 am and 3:00 pm in the University Warehouse Building no. 70. Tuesday will be used lor the receiving of bids. Bids will be comglled on Wednesday (May 20) and lists will be posted In the Warehouse, Admin Bldg, and UU Plaza All highest bidders will pickup Items on Thursday, (May 21) ONLY between Sam and 3:00pm. Friday (May 22) will be used for 2nd and 3rd highest bidders to claim Items not claimed be highest bidders. 2nd highest bld(i«rs will claim Items betvveen 8:00am and 11:00am and 3rd highest bidders will claim items between 12:30pm and 3:00pm Clothing, books, jewelry, calculators, typewriters, chairs, amplifiers, camera screen, cameras, floor polishing, machine, radial saw, microwave oven, and various miscellaneous Items wilt be available. The University reserves the right to reject any and all bids, A 6% sales tax will be added to all bid pricas."
411,6,0,"OT",0,0,0,"(5-1?)"
412,6,0,"OT",0,0,0,"Apts tor lease 6-16-81 turn. 2 bedrm $430 or $460/mo 543 8517 or 544-5385 aft. 5	(5-19)"
413,6,0,"OT",0,0,0,"SHARE NEW CONDO. OWN LARGE BDRM ALL NEW FURN GARAGE. MANY EXTRAS. 10 MIN FROM POLY BY BIKE $200/ MO INCL UTIL. 6-15 THRU? 541-5071__________(5-15)"
414,6,0,"OT",0,0,0,"MOBIL HOMES. CONDOS Low Down Payment,"
415,6,0,"OT",0,0,0,"Low Interest Rates."
416,6,0,"OT",0,0,0,"DELVAGLIO REALTY 543-6075."
417,6,0,"OT",0,0,0,"(6-5)"
418,6,0,"OT",0,0,0,"ALL SUMMER ONLY $250 ea FURN APT-LG 1 BDRM (or 2(or 1 ) CLOSE TO POLY 544-5356"
419,6,0,"OT",0,0,0,"(5-20)"
420,6,0,"OT",0,0,0,"SUMMER POSITIONS Fine High Sierra girls camp seeks llve-in counselors (20-up) to teach English-Western Riding. Vaulting. Horse Care. Crafts, Stagecraft. Photo-Yearbook, Riflery, Water Ballet, Exper Refs ALSO Nurse (415) 967 8612"
421,6,0,"OT",0,0,0,"(5-22)"
422,6,0,"OT",0,0,0,"2 Bdrm Apt. FURNISHED 6-16 thru 9-16 CABLE, UTLES. PAID. BCKYRD, 546-4597 or 3225 or 4595"
423,6,0,"OT",0,0,0,"(5-20)"
424,6,0,"OT",0,0,0,"Services"
425,6,0,"OT",0,0,0,"Fmie roomate wanted (or smmr. Share room. Close to Poly. $90/mo 541-6055 Barb or Sue."
426,6,0,"OT",0,0,0,"(5-20)"
427,6,0,"OT",0,0,0,"Thank you lor all your business! For all your Typing needs call Susie 528-7805	(6-5)"
428,6,0,"OT",0,0,0,"FOR RENT SUMMER 2 BDRM APT. SUNNY PATIO (3UIET 1 BLK FROM DWNTN SLO $300MO 541-5646	(5-15)"
429,6,0,"OT",0,0,0,"SUMMER AND FALL VILLA Split level, orte bdrm apt; pool, saurta, laurtdry, private patio and sundeck. $30(3fmo. smmr., $350/mo f$ll. Call 543-SWtM (MWF 5-7 best)"
430,6,0,"OT",0,0,0,"_____________________________(5/15)"
431,6,0,"OT",0,0,0,"Summer Apt. own room In 2 bdrm Apt. Pool, Jcuz util pd. Try $145/mo 541-4599 Mark"
432,6,0,"OT",0,0,0,"(5-21)"
433,6,0,"OT",0,0,0,"TYPfNO SERVICE IBM CORRECTING SELECTRIC BONNIE S4B0620 EVES."
434,6,0,"OT",0,0,0,"No regret haircuts. Peta Chrtstie Harstyling. 846 Higuera 544-9613	(6-5)"
435,6,0,"OT",0,0,0,"LINDA’S TYPING SERVICE Reasonable rates-close to cairv pus. 541-1028 after 6pm."
436,6,0,"OT",0,0,0,"(6-5)"
437,6,0,"OT",0,0,0,"Summer apt College Chalet 2 story, dishwasher, pool call Page, 544-0777."
438,6,0,"OT",0,0,0,"(5-19)"
439,6,0,"OT",0,0,0,"Automotive"
440,6,0,"OT",0,0,0,"Female roommate needed. Apt. close to Poly. Pool, (urn. $100/summer, $150/fall. Ellen 546-4430."
441,6,0,"OT",0,0,0,"(5-19)"
442,6,0,"OT",0,0,0,"Routine Maintenance? To run good your car must be maintained. Holloway's 543-5846"
443,6,0,"OT",0,0,0,"(5-15)"
444,6,0,"OT",0,0,0,"Amway Products-mean quality and personal service Try us and see. We deliver. Phor>e 541-1028 after 6 pm."
445,6,0,"OT",0,0,0,"(5-22)"
446,6,0,"OT",0,0,0,"Help Wanted"
447,6,0,"OT",0,0,0,"TYPING SR-PRÛJECTS, ETC, REASONABLE RATES ROSEMARY $43-3441"
448,6,0,"OT",0,0,0,"(5-20)"
449,6,0,"OT",0,0,0,"Two or three bedroom apt. or house needed lor summer and or fall. Call Sue 541-2344"
450,6,0,"OT",0,0,0,"(5-19)"
451,6,0,"OT",0,0,0,"SMMR APT FURN. 2 BDRM 1Vi BTH 75 EA/4 PEOPLE 546-3573, 546-4697 (514)"
452,6,0,"OT",0,0,0,"$250 to $6000 mo."
453,6,0,"OT",0,0,0,"Be your own boss, lull or part-time. Free training, distribute greatest ALL HERBAL weight loss $ nutrition program aver, sells Itself, earn 25-65? of gross from XERBALIFE•’ Co Phone Mr. Summer 1-(805)688-3537"
454,6,0,"OT",0,0,0,"(5-14)"
455,6,0,"OT",0,0,0,"For Sale"
456,6,0,"OT",0,0,0,"1977 Suzuki TS 250. Good con-diton. asking$6S0. Also marantz 2235B stereo receiver and BSR 710 turntable. Both in good con-d'ton Asking $225 for both Call Matt 544 7803.	(515)"
457,7,0,"PI",0,0,0,"Mustang Daily Friday, May 1 S, 1 Ml"
458,7,0,"PI",0,0,0,"Paga?"
459,7,14,"HL",0,0,0,"Huff might be back later"
460,7,14,"HL",0,0,0,"Exotic Bakersfield site for league track duel"
461,7,14,"BL",0,0,0,"BY ANDY BERGHER"
462,7,14,"TXT",1,0,0,"Saacial to m# Dally All season long, Cad Poly head track coach Steve Miller has been telling us how good his team is this year, about all the depth on his squad, and how his team is going to destroy all opposition en route to the conference and national championships."
463,7,14,"TXT",2,0,0,"fhis weekend, we'll find out just how true the Words of Steve Miller are."
464,7,14,"TXT",3,0,0,"The Mustangs travel to exotic downtown Bakersfield for the California Collegiate. Athletic Association ^championships this afternoon and Saturday. At stake will be not only the conference title and bragging rights for a year, but also a legion of individual matchups that will most probably be replayed at the national championships in Macomb, 111. in two weeks.	--t,"
465,7,14,"TXT",4,0,0,"For example, take the 1500 race. Please. Toeing the starting line will be Poly’s aces, Vernon Sajlax and Paul Medvin, along ' with the nation's top metric miler, Frank Assunima of Riverside, Matt Blaty and Pedro Reyes of Pomona, and Ken Haney of Bakersfteld. All six runners are capable of running 3:45 or better."
466,7,14,"TXT",5,0,0,"Another of those events that will have the fans on the edge of their seats will be the sprints, where Poly's Mark Kent and possibly Joe Siai Siai will clash with Northridge’s Steve Brodie the' former national sprint champion."
467,7,14,"TXT",6,0,0,"In fact, the entire Nor-thridge team will prove to be the Mustangs' biggest"
468,7,14,"TXT",6,0,0,"pest at Bakersfield. The Matadors go two and three deep in each of the field events, and could heavily outscore Poly in the field events without winning an event. If Mu^ng Brian Paul wins the^^t put, as he’s expected ^ do, and Northridge geth second, third, and fifth, the Matadors would win the shot put, 18-10."
469,7,14,"TXT",7,0,0,"Said Miller, ""According to the conference listing alone, Northridge could score 14 in the long jump, 17 in the triple jump, 12 in the discus and 21 in the hammer. They could be competitive without winning an event.”"
470,7,14,"TXT",8,0,0,"Aside from the key matchups, Miller, as always, is looking for his athletes to continue improving, and to return to the form they were in before the onslaught of invitationals took some of the ""oomph” out of the season. But this is somewhat like the case of the person who had nose siu-gery, but was afraid to take off the bandages for fear that his nose won't come out just as he wanted."
471,7,14,"TXT",9,0,0,"One of the ironies of the conference meet is that Miller and friends won’t be able to show off the depth on the team. In 1981, 41 individuals and two relays have qualifîed for the na-tiohals, yet the Mustangs can take only 28 athletes to the conference meet."
472,7,14,"TXT",10,0,0,"With the conference title on the line. Miller won’t fiddle around ~ with his lineup. Doug Avrit, a 5000 nmner in the nationals, will run the 10000 in Bakersfield, while senior"
473,7,0,"AT",0,0,1,"coupon!"
474,7,0,"AT",0,0,1,"FREE LARGE ICED TEA with purchase of a Burrito Supreme or a Beefy Tostada Offer good thru May 31 st please present coupon"
475,7,0,"AT",0,0,1,"281 Santa Rosa"
476,7,0,"AT",0,0,2,"GIVING"
477,7,0,"AT",0,0,2,"Who wants to be ihe next Mustang Daily Advertising Manager?"
478,7,0,"AT",0,0,2,"•Advertising Sales & Layout •Sales Management •Public Relations"
479,7,0,"AT",0,0,2,"To apply Submit written application to: Sara"
480,7,0,"AT",0,0,2,"Kachadoorlan Mustang Dally 846-1143"
481,7,0,"AT",0,0,2,"Deadline May 18"
482,7,14,"TXT",10,0,0,"Manny Bautiata, will do just the opposite."
483,7,14,"TXT",11,0,0,"Another missing Mustang will be school record holder Ivan Huff who is the nation’s leading steeplechaser. Huff won’t run in Bakersfield, and Miller has him down as questionable for the nationals. Huff is still plagued by mononucleosis and strep throat."
484,7,0,"SH",0,0,0,"Sports"
485,7,16,"HL",0,0,0,"Three gymnasts named all-league"
486,7,16,"TXT",1,0,0,"Three members of the Cal Poly gymnastics team have been selected to the Southern California Athletic Association All-League team. Andy Proctor, the Mustangs’ coach, was voted the coach-of-the-year."
487,7,15,"HL",0,0,0,"Coach reflects on banner year"
488,7,15,"TXT",1,0,0,"Despite a rugged finish. Cal Poly baseball coach Berdy Harr had nothing but praise for ""one of the best clubs in history.”"
489,7,15,"TXT",2,0,0,"Cal Poly ñnished the year 31-16-1 overall and 14-'14 in the California Colegiata Athletic Association."
490,7,15,"TXT",3,0,0,"“I think the 1981 team has been as good a club as we’ve ever had or will evkr have at Cal Poly. It’s difficult to get as strong a nucleus of experienced ballplayers together as we"
491,0,0,"NA",0,0,0,"** Wa eewl"
492,0,0,"NA",0,0,0,"IlMU vtSlO	( nv VMa%t>"
493,7,15,"TXT",4,0,0,"Included in that number is shortstop Craig Gerber (.322) ""who performed at a high level of consistency as he has all year,” Harr said, and left fielder Eric Peyton (.329), who went 6-for-9 in Saturday’s double header against Chapman. ""And"
494,7,15,"TXT",4,0,0,"let’s give Mark Bersano a big pat on the back, too,"" the coach added, for'his four-hit shutout against the Panthers Friday and pitching as well as he did Sunday against the Toros. Bersano was 7-2 and a 2.30 ERA."
495,7,15,"TXT",5,0,0,"The season went pretty much as anticipated, said Harr. “We had a good team and a good year in a tough league. The CCAA is kind of an unknown Pacific 10. Baseball is high on the priority lists of tlw schools in the league.”"
496,7,15,"TXT",6,0,0,"I think the CCAA is easily on a par with the Southern California Baseball Alliance or the Northern California Baseball Alliance,” said Harr, whose Mustangs were 8-1 against teams from those two Division I conferences."
497,0,0,"B",0,0,0,
498,0,0,"B",0,0,0,
499,0,0,"B",0,0,0,
500,0,0,"B",0,0,0,
501,0,0,"B",0,0,0,
502,0,0,"B",0,0,0,
503,0,0,"B",0,0,0,
504,0,0,"B",0,0,0,
505,0,0,"B",0,0,0,
506,0,0,"NA",0,0,0,"\"
507,0,0,"B",0,0,0,
508,0,0,"B",0,0,0,
509,0,0,"B",0,0,0,
510,0,0,"B",0,0,0,
511,0,0,"NA",0,0,0,"itac'"
512,0,0,"B",0,0,0,
513,7,0,"AT",0,0,4,"bikini FACTOBT"
514,7,0,"AT",0,0,4,"UNEQUALLgn SEL^T'?^"
515,7,0,"AT",0,0,4,"South of Santa Barbara"
516,7,0,"AT",0,0,4,"2275 ORTEGA HILL ROAD 969-2887 SUMMERLAND, CALIFORNIA 93067,"
517,7,0,"AT",0,0,4,"OPEN 7 DAYS"
518,7,0,"AT",0,0,4,"•	Pool 4 Jacuzzi-Proof Swimwear Heat & Chlorine Resistant"
519,7,0,"AT",0,0,4,"•	AM Sizes • Separates • D Cups"
520,7,16,"TXT",2,0,0,"Susan King was the top all-around performer for the Mustangs, and scored 31.65 in the conference meet. Donna Haas (31.55) and Pam Dickey (31.30) also were select^ to the first team all-league. The Mustangs won the SC A A conference in mid-March."
521,7,16,"TXT",3,0,0,"Cal State Northridge, who placed fourth in the league, had two athletes selected. Kim Gardner was the top gynmast with a 34.25 score. Susie Freeman (33.0) was the other Matador named. Cal Poly Pomona’s Cindy Sunnar-borg (31.70) rounded out the six-member team."
522,7,16,"TXT",4,0,0,"The Mustangs enjoyed their finest season ever in 1981. Besides capturing the team’s first SCAA crown, Proctor’s squad placed 11th in the Mustangs’ first appearance at the AIAW Division II Nationals."
523,7,16,"TXT",5,0,0,"Proctor is the third coach from Cal Poly to be honored by the SCAA this year. Lance Harter was named coach of the year for cross country, while Mike Wilton was selected for volleyball."
524,7,17,"HL",0,0,0,"Poly puts on national track bid"
525,7,17,"TXT",1,0,0,"The second day of competition in the three-day AIAW Division II National Championship track meet has been scheduled today in Pisnnsylvania."
526,7,17,"TXT",2,0,0,"The Cal Poly women’s team will have Eileen Kraemer in the 3,000 meter semifinals, Chris Dubois in the heptathlon, Liz Strangio and Becky Bonsel in the 10,000 finals and' Dana Henderson in the shot put in action today."
527,7,17,"TXT",3,0,0,"Ck>ach Lance Harter’s squad completed the regular season undefeated."
